shelf," ","полка, подставка"
oven," ",духовка
a flat," ",квартира
a date," ",свидание
animal," ","животное, скотина"
pet," ",домашнее животное
leg," ",нога
"aftershave "," ",ласьон после бритья
reply," ",ответ
sweet," ",конфета
curly braces," "," вьющиеся скобки"
resolution," ",решение
cup," ","чашка, кружка"
tooth/teeth," ",зуб человека
wing/wings," "," крылья"
mane," ",грива
bone," "," кость"
deer," ",олень
ox," ",вол
spy," ",шпион
tail," ",хвост
sheep," ",овца
leaf," ",лист растения
loaf," ",буханка хлеба
house wife," ",домохозяйка
meat," ",мясо
meal," ",еда
slice of bread," ",отрезанный кусок хлеба
piece of cheese," ",отрезанный кусок сыра
packet," ",пачка
package," ","упаковка, посылка"
can," "," банка металлическая(кола)"
carton," ",коробка
cartoon," ",мультфильм
candle," ",свача
donkey," ",осел
trunk," ","ствол, туловище дерева"
aunt," ",тетка
beefburgers," ",бутерброды из говядины
fairy tail," ",сказка
warrior," ",воин
slice," ",кусок еды из муки
piece," ",кусок еды не из муки
subroutine," ",подпрограмма
subset," ",подмножество
"supply ",[sə'plaɪ],предоставление
leap year," ",високосный год
timestamp," ",метка времени
truncation," ","усечение, снос"
sludge,[slʌdʒ],"1)отстой, осадок 2)превращаться в отстой, осадок"
vapor,[ˈveɪpə],"пар, туман, испаряться"
waste,[weɪst],"отходы, пустая трата"
"reserve ",[rɪ'zɜːv],"запас, резерв"
rule ,[ru:l],"правило, правление"
"scope ",[skəup],объем
"sequence ",[ˈsi:kwəns],последовательность
pocket," ","  карман"
cross out," ",вычеркнуть
vacation," "," отпуск"
imagination," ",воображение
daily routine," ",ежедневный распорядок дня
judge," "," судья"
curtains," ",шторы
competition," ",соревнования
coast," ","берег, побережье"
envelope," ","конверт, оболочка"
misprinting," ",опечатка
solver," ",решатель
surface,[ˈsə:fɪs],"поверхность, покрытие"
enterprise,[ˈentəpraɪz],предприятие
furnace,[ˈfə:nɪs],"печной, печь"
sanitation,[ˌsænɪˈteɪʃən],"санитария, очистка"
sewer,['səuə],"коллектор, отводить сточные воды"
obsession," ",одержимость
pupil," ","ученик, малолетний"
sacrifice," ",жертва
grandmother," ",бабушка
clothes," ",одежда
take-away food," ",еда на вынос
spectator," ","зритель, болельщик"
variety,[вэрайети],разноообразие
zebra," ",зебра
cousin,[казин]," кузин"
public holiday," ",государственный выходной
terms,[tə:ms],"условия, сроки, выражения"
toggle,[ˈtɔɡl],переключатель
tokenizing," ",маркирование
amount,[əˈmaunt],"сумма, количество, составлять, означать"
efficiency," ","эффективность, действенность"
wrapper,[ˈræpə],обертка
worth,[wə:θ],"ценность, достоинство"
vocabulary,[vəuˈkæbjulərɪ],словарь
variety,[vəˈraɪətɪ],"ранообразие, разновидность"
