Here you are.," ","держите, вот, пожалуйста"
to have a cold," ",простудиться
never mind," ",не обращайте внимания
down the stair," ",вниз по лестнице
bless you," ",будь здоров
no way," ",не в коем случае
stand by for," ",делай как я
faster still," ",все еще быстро
give it to me," ",дай мне
"oh, dear"," ",Боже мой
leave it from," ",оставь мне
Good luck!," ",удачи
He was going to drink some coffee.," ",Он собирался попить кофе. (Но я не знаю сделал он это или нет)
When is your Birthday? - On 25th of October," "," Когда твой день рождения?"
Help yourself," ",угощайтесь
See you soon.," "," До скорого."
to be own of the cinema," ",в прокате (российском)
the last one," ",последний
"once twice three times…"," ","однажды, дважды, трижды"
wouldn’t like," ",не хотел бы
waste of time," ",тратить бесполезно время
have breakfast/launch/dinner," ",с приемом пищи артикль не используется
on the weekend/at the weekend," ",американский/британский вариант
go shopping," ",идти за покупками
go meal shopping," ",идти за покупкой еды
to be hurry," ",торопиться
Er no," ",Эээ… - слово-паразит
to be honest," ",если быть честным
That’s it.," ",Все. Закончили.
most probably," ",наиболее вероятно
stick to the script," ",придерживаться сценария
play cards," ",играть в карты
rare guest," "," редкий гость"
was surprised," ",был удивлен
it depends," ",это зависти от обстоятельств
regular check up," ",регулярная проверка
not rarely once a day," ",не реже одного раза в день
finished work," ",закончить рабочий день
I have no choice.," ",У меня нет выбора.
In the second case.," ",во втором случае
let’s check," ",давайте проверим
Where do they work?," ",где  они работают?
What do they do?," ",что они делают/кем работают?
sorry," ","если опоздал, толкнул"
excuse me," ",если что-то просить подать и в формальном языке
introduce myself," ",представиться
on business," ",в коммандировке
What should be…?," ",что должно быть …?
I’m ok for…," ",я нормально отношусь к(по сути мне все равно)
It happens by self.," ",Так получилось само собой.
pass the sugar," "," передай сахар"
the same as you," ",так же как и ты
better late than never," ",лучше поздно чем никогда
let me think," ",дай подумать
married," ",в браке
to be honest," ",если быть честным
"the last one "," ",последний
by the way," ","между прочим, кстати"
on the fly," ",на лету (разбираться по ходу дела)
on the way," ",по пути (географически)
If the weather is good.," ",Если погода хорошая
