absence," ",отсутствие
accustomed," ","привыкший, приученный"
adherence," ","соблюдение, приверженность"
advance," ","продвижение, прогресс"
affair," ","дело, роман"
ancestor," ",предок
appearance," ",внешний вид
apprentice," ","ученик, подмостерье"
assumption," ",преположение
augmenting,[ogmentin],преумножение
benchmark," ","эталоннная отметка, исходный пункт"
bigramm," ",биграмма
brevity," ",краткость
byproduct," ",побочный продукт
cardinality," ",мощность
circumstances," ",обстоятельства
clutter," ",беспорядок
caution," ",осторожность
circumlocution,[socumlakishan],иноасказание
collateral," ",обеспечение
compunction," ",раскаяние
conciseness," ",краткость
consequence," ","последствие, вывод"
concoction," ",смесь
corollary," ","следствие, вывод, заключение"
custodian," ",хранитель
conscience," ","совесть, сознание"
deceiving,[disivin],обман
deficiency," ","недостаток, неполноценность"
deed," ","дело, поступок"
denial-of-service," ",отказ в обслуживании
descendant," ",потомок
dice," "," игральная кость"
dictum,[dictem],изречение
defeat,[difiit],"поражение, разгром"
dispenser," ","распылитель, раздаватель"
demands," ",требования
emerging," ",появление
encounter," ",столкновение
enhancement," ",усиление
enforcement," ","принудительное применение, принудительное осуществление"
erasure," ","подчистка, стирание"
essence," ",сушность
expressiveness," ",выразительность
exposure," ","выставление, экспозиция"
fee," ","сбор, взнос, оплата"
flaw," ","изъян, недостаток"
footprint," ","след, отпечаток"
fragrance," ","аромат, запах"
former," ","шаблон, каркас"
hand off," ","раздача, передача"
hassle," ","стычка, пеербранка"
hazard," ",опасность
half-truth," ",полуправда
headache,[hedeik],головная боль
hedging," ",хеджирование(ограничение)
holistic," ",целостный
interoperability," ",совместимость
impression," ","впечатление, оттиск"
incentive," ",стимул
inclination," ",склонность
indefinitely," ",бесконечно
"Index – indices ",[indicis],"инжекс, указатель"
indirection," ",косвенность
infringement," ",нарушение
installment,[instalment],взнос
intervening," ",вмешательство
interest," ","процент, доля, выгода"
justification," "," обоснование, оправдание"
"latch "," ","зашелка, задвижка"
ledger," ",бухгалтерская книга
lieu,[lu],место
maturity," ","срок платежа, срок погашения"
misbehaving," ",сбой
misconception," ",неправильное представление
mischief," ","зло, вред"
myth," ",миф
notion," ","идея, соображения"
oboe,[obou],габой
odds," ","шансы, разногласие"
olfaction," ","нюх, обоняние"
omission," ","упущение, пропуск"
parlance,[palens],манера говорить
"petal ",[petl],лепесток
pitfall," ","подводный камень, ловушка"
posterity," ","потомство, предшествующее паколение"
plumbing,[plumin],водопровод
premise," ",предпосылка
presence," ","присутствие, наличие"
prospect," ",перспектива
purport," ",подразумеваемый смысл
rank," ","разряд, класс"
rein," ","поводья, контроль"
remaining," ",остальной
remedy," ","средство защиты, лекарство"
retrofitting," ",переоснащение
reduction," ","сокращение, снижение"
suspicion," ",подозрение
shortcoming," ",недостаток
spike," ","острие, грань"
starvation," ",голодание
stem," ","основа, стебель, стержень"
struggle," ",борьба
"suit ",[suut],"костюм, масть карты"
supplier," ",поставщик
" taxonomy"," ","таксономия, систематика"
throughput,[thrupat],пропускная способность
temptation," ",искушение
tenner," ",десятки
thoughts," ","мысли, учение"
treasury," ",казначейство
trump," ",козырь
participation," ",участие
payroll," ","платежная ведомость, расчет зарплаты"
prepaid," ",предоплата
proposition," ","предложение, утверждение"
"reliance ",[relaence],"опора, уверенность"
stakeholder," ",совладелец
stooge," ",марионетка
subtleties,[sutltis],тонкости
swap," ",обмен
traverse," ","ход, перемещение"
virtue,[vorch’u],"достоинство, хорошее качество"
way out," ",выход из положения
well-intended," ",благие намерения
whisper," ","слух, молва"
wisdom,[wizdem],мудрость
withdrawal,[withdro],"вывод, изъятие"
worth," ","стоимость, достоинство"
